5,6.92820323
5.5,7.794228634
6,8.660254038
6.5,9.526279442
7,10.39230485
7.5,11.25833025
5,5.196152423
5.5,6.062177826
6,6.92820323
6.5,7.794228634
7,8.660254038
7.5,9.526279442
8,10.39230485
8.5,11.25833025
9,12.12435565
5.5,4.330127019
6,5.196152423
6.5,6.062177826
7,6.92820323
7.5,7.794228634
8,8.660254038
8.5,9.526279442
9,10.39230485
9.5,11.25833025
10,12.12435565
6,3.464101615
6.5,4.330127019
7,5.196152423
7.5,6.062177826
8,6.92820323
8.5,7.794228634
9,8.660254038
9.5,9.526279442
10,10.39230485
10.5,11.25833025
11,12.12435565
6.5,2.598076211
7,3.464101615
7.5,4.330127019
8,5.196152423
8.5,6.062177826
9,6.92820323
9.5,7.794228634
10,8.660254038
10.5,9.526279442
11,10.39230485
11.5,11.25833025
12,12.12435565
7,1.732050808
7.5,2.598076211
8,3.464101615
8.5,4.330127019
9,5.196152423
9.5,6.062177826
10,6.92820323
10.5,7.794228634
11,8.660254038
11.5,9.526279442
12,10.39230485
12.5,11.25833025
13,12.12435565
8,1.732050808
8.5,2.598076211
9,3.464101615
9.5,4.330127019
10,5.196152423
10.5,6.062177826
11,6.92820323
11.5,7.794228634
12,8.660254038
12.5,9.526279442
13,10.39230485
13.5,11.25833025
14,12.12435565
8.5,0.866025404
9,1.732050808
9.5,2.598076211
10,3.464101615
10.5,4.330127019
11,5.196152423
11.5,6.062177826
12,6.92820323
12.5,7.794228634
13,8.660254038
13.5,9.526279442
14,10.39230485
14.5,11.25833025
9.5,0.866025404
10,1.732050808
10.5,2.598076211
11,3.464101615
11.5,4.330127019
12,5.196152423
12.5,6.062177826
13,6.92820323
13.5,7.794228634
14,8.660254038
14.5,9.526279442
15,10.39230485
15.5,11.25833025
10.5,0.866025404
11,1.732050808
11.5,2.598076211
12,3.464101615
12.5,4.330127019
13,5.196152423
13.5,6.062177826
14,6.92820323
14.5,7.794228634
15,8.660254038
15.5,9.526279442
16,10.39230485
11.5,0.866025404
12,1.732050808
12.5,2.598076211
13,3.464101615
13.5,4.330127019
14,5.196152423
14.5,6.062177826
15,6.92820323
15.5,7.794228634
16,8.660254038
16.5,9.526279442
12.5,0.866025404
13,1.732050808
13.5,2.598076211
14,3.464101615
14.5,4.330127019
15,5.196152423
15.5,6.062177826
16,6.92820323
16.5,7.794228634
17,8.660254038
13.5,0.866025404
14,1.732050808
14.5,2.598076211
15,3.464101615
15.5,4.330127019
16,5.196152423
16.5,6.062177826
17,6.92820323
17.5,7.794228634
15,1.732050808
15.5,2.598076211
16,3.464101615
16.5,4.330127019
17,5.196152423
17.5,6.062177826
